,NOSE_TIP,PH_BULB,NERVE_RING,angle
60,"[382.6717529, 43.57747269]","[354.0270691, 56.09933472]","[331.6965637, 75.48808289]",-17.35
61,"[386.0583801, 35.134552]","[362.582428, 56.81058884]","[333.3230591, 78.55902863]",6.09
62,"[389.1196289, 33.10253143]","[366.7122803, 65.13890076]","[334.056488, 85.938591]",22.54
63,"[386.315033, 22.05375671]","[384.2377014, 53.53190231]","[363.5592041, 87.99123383]",27.19
64,"[378.4890137, 23.45873451]","[384.7789612, 52.82144547]","[375.6813049, 86.1315155]",27.37
65,"[365.6242065, 21.88240814]","[382.9042358, 51.53133011]","[378.0071716, 85.62839508]",38.41
66,"[362.1212158, 18.42681694]","[376.960022, 44.61763]","[382.6152039, 79.83444214]",20.41
67,"[365.2837524, 13.80733776]","[372.1477356, 39.95163345]","[376.0652771, 80.55677032]",9.2
68,"[362.9772339, 10.90532303]","[367.542572, 37.77789307]","[375.7514648, 81.65963745]",-0.95
69,"[369.6149902, 8.90886116]","[363.1835327, 40.56150818]","[369.2824097, 83.727005]",-19.53
70,"[374.6181641, 13.48749256]","[363.5855713, 44.62335205]","[367.6797485, 85.84267426]",-25.18
71,"[381.3969421, 14.99098206]","[365.443634, 42.48040009]","[362.7778931, 85.26699066]",-26.56
72,"[383.2561646, 20.26170349]","[365.5010376, 42.84393311]","[359.835907, 77.6661377]",-28.94
73,"[390.058197, 24.39426231]","[372.0957947, 43.91480637]","[359.9579468, 68.0334549]",-15.91
74,"[395.4628601, 25.49034309]","[375.4649658, 48.25657654]","[357.7142944, 75.22421265]",-7.94
75,"[401.056488, 32.86798096]","[379.7492065, 53.25421143]","[358.4202576, 75.47390747]",-2.44
76,"[416.7340088, 56.36756516]","[386.2397156, 59.55796051]","[363.5244751, 73.60939789]",-25.77
77,"[422.9718323, 57.38396072]","[395.6878967, 67.45336914]","[364.4113159, 73.19794464]",9.85
78,"[429.7363281, 54.50351334]","[400.0779419, 70.79581451]","[368.1773071, 81.51532745]",10.21
